date,open,high,low,close,volume
2015/04/07,30401,30401,30401,30401,0
2015/04/08,29350,29350,29350,29350,0
2015/04/09,29320,29320,29320,29320,0
2015/04/10,28271,28271,28271,28271,0
2015/04/11,28379,28379,28379,28379,0
2015/04/12,28321,28321,28321,28321,0
2015/04/13,26838,26838,26838,26838,0
2015/04/14,26058,26058,26058,26058,0
2015/04/15,26631,26631,26631,26631,0
2015/04/16,27138,27138,27138,27138,0
2015/04/17,26415,26415,26415,26415,0
2015/04/18,26487,26487,26487,26487,0
2015/04/19,26350,26350,26350,26350,0
2015/04/20,26740,26740,26740,26740,0
2015/04/21,28215,28215,28215,28215,0
2015/04/22,28045,28045,28045,28045,0
2015/04/23,28161,28161,28161,28161,0
2015/04/24,27438,27438,27438,27438,0
2015/04/25,26852,26852,26852,26852,0
2015/04/26,26015,26015,26015,26015,0
2015/04/27,27196,27196,27196,27196,0
2015/04/28,26822,26822,26822,26822,0
2015/04/29,26893,26893,26893,26893,0
2015/04/30,28237,28237,28237,28237,0
2015/05/01,27876,27876,27876,27876,0
2015/05/02,28210,28210,28210,28210,0
2015/05/03,28836,28836,28836,28836,0
2015/05/04,28679,28679,28679,28679,0
2015/05/05,28351,28351,28351,28351,0
2015/05/06,27477,27477,27477,27477,0
2015/05/07,28467,28467,28467,28467,0
2015/05/08,29142,29142,29142,29142,0
2015/05/09,28793,28793,28793,28793,0
2015/05/10,28691,28691,28691,28691,0
2015/05/11,29037,29037,29037,29037,0
2015/05/12,28880,28880,28880,28880,0
2015/05/13,28091,28091,28091,28091,0
2015/05/14,28210,28210,28210,28210,0
2015/05/15,28332,28332,28332,28332,0
2015/05/16,28143,28143,28143,28143,0
2015/05/17,28188,28188,28188,28188,0
2015/05/18,27935,27935,27935,27935,0
2015/05/19,27989,27989,27989,27989,0
2015/05/20,28412,28412,28412,28412,0
2015/05/21,28481,28481,28481,28481,0
2015/05/22,29225,29225,29225,29225,0
2015/05/23,29045,29045,29045,29045,0
2015/05/24,29307,29307,29307,29307,0
2015/05/25,28864,28864,28864,28864,0
2015/05/26,29215,29215,29215,29215,0
2015/05/27,29328,29328,29328,29328,0
2015/05/28,29430,29430,29430,29430,0
2015/05/29,29425,29425,29425,29425,0
2015/05/30,28952,28952,28952,28952,0
2015/05/31,28543,28543,28543,28543,0
2015/06/01,27864,27864,27864,27864,0
2015/06/02,28011,28011,28011,28011,0
2015/06/03,28027,28027,28027,28027,0
2015/06/04,27898,27898,27898,27898,0
2015/06/05,28253,28253,28253,28253,0
2015/06/06,28334,28334,28334,28334,0
2015/06/07,28047,28047,28047,28047,0
2015/06/08,28466,28466,28466,28466,0
2015/06/09,28513,28513,28513,28513,0
2015/06/10,28104,28104,28104,28104,0
2015/06/11,28384,28384,28384,28384,0
2015/06/12,28386,28386,28386,28386,0
2015/06/13,28701,28701,28701,28701,0
2015/06/14,28836,28836,28836,28836,0
2015/06/15,29277,29277,29277,29277,0
2015/06/16,30946,30946,30946,30946,0
2015/06/17,30750,30750,30750,30750,0
2015/06/18,30594,30594,30594,30594,0
2015/06/19,29871,29871,29871,29871,0
2015/06/20,30081,30081,30081,30081,0
2015/06/21,29928,29928,29928,29928,0
2015/06/22,30439,30439,30439,30439,0
2015/06/23,30235,30235,30235,30235,0
2015/06/24,29748,29748,29748,29748,0
2015/06/25,29966,29966,29966,29966,0
2015/06/26,30056,30056,30056,30056,0
2015/06/27,31055,31055,31055,31055,0
2015/06/28,30728,30728,30728,30728,0
2015/06/29,31430,31430,31430,31430,0
2015/06/30,32144,32144,32144,32144,0
2015/07/01,31728,31728,31728,31728,0
2015/07/02,31295,31295,31295,31295,0
2015/07/03,31367,31367,31367,31367,0
2015/07/04,31950,31950,31950,31950,0
2015/07/05,33259,33259,33259,33259,0
2015/07/06,32901,32901,32901,32901,0
2015/07/07,32468,32468,32468,32468,0
2015/07/08,32546,32546,32546,32546,0
2015/07/09,32511,32511,32511,32511,0
2015/07/10,34858,34858,34858,34858,0
2015/07/11,35816,35816,35816,35816,0
2015/07/12,38062,38062,38062,38062,0
2015/07/13,35895,35895,35895,35895,0
2015/07/14,35310,35310,35310,35310,0
2015/07/15,35129,35129,35129,35129,0
2015/07/16,34481,34481,34481,34481,0
2015/07/17,34544,34544,34544,34544,0
2015/07/18,34048,34048,34048,34048,0
2015/07/19,33800,33800,33800,33800,0
2015/07/20,34604,34604,34604,34604,0
2015/07/21,34082,34082,34082,34082,0
2015/07/22,34287,34287,34287,34287,0
2015/07/23,34142,34142,34142,34142,0
2015/07/24,35645,35645,35645,35645,0
2015/07/25,35665,35665,35665,35665,0
2015/07/26,36099,36099,36099,36099,0
2015/07/27,36073,36073,36073,36073,0
2015/07/28,36291,36291,36291,36291,0
2015/07/29,35784,35784,35784,35784,0
2015/07/30,35658,35658,35658,35658,0
2015/07/31,35189,35189,35189,35189,0
2015/08/01,35655,35749,34483,34603,3425.24
2015/08/02,34603,34852,34249,34764,2604.56
2015/08/03,34764,35462,34686,35244,3091.65
2015/08/04,35244,35698,35102,35575,3118.7
2015/08/05,35575,35902,35289,35317,2464.21
2015/08/06,35317,35428,34865,34926,3706.59
2015/08/07,34926,35109,34499,34958,4566.43
2015/08/08,34958,35032,33555,33598,4167.35
2015/08/09,33598,33822,32371,33247,3046.96
2015/08/10,33247,33455,32701,33259,3385.91
2015/08/11,33259,33742,33141,33487,4292.06
